,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
DDX3X,139,silver,silver,2,0.0784766374160901,-0.1317365108599436,0.1817043434019135
HP1BP3,140,silver,silver,2,0.3571876262272445,-0.10120896601264393,0.17863385242867627
LDHA,130,silver,silver,2,0.32090477578274956,0.03833863849113655,0.17856403539551408
PCBP2,134,silver,silver,2,0.2982832161800035,-0.018060796942691002,0.17753703685174377
RTN4,139,silver,silver,2,0.39688850823692823,-0.0356579816870135,0.17146068494578587
TUT7,135,silver,silver,2,0.2387411653534525,-0.15300586493607662,0.16432250254246353
HULC,131,silver,silver,2,0.14736633539388688,-0.09195903671135436,0.16414976755030633
CFLAR,141,silver,silver,2,0.12677875858564921,-0.06619452899599898,0.15693015525353093
MAPK14,134,silver,silver,2,0.28408007723703493,-0.13603290980834604,0.14791069264103082
OGA,140,silver,silver,2,-0.007233882680269764,0.03600955812118928,0.13197204181024824
TAF15,140,silver,silver,2,0.037957974922899124,-0.09295174265016383,0.12796712635654187
RSF1,140,silver,silver,2,0.012905503724105457,0.0577092391543963,0.11946857605783238
ILRUN,135,silver,silver,2,0.25081150742629493,-0.10638852058017265,0.10570468853978791
SEPTIN7,140,silver,silver,2,0.1824481010618571,0.12366653455209511,0.10475778058578314
SF3B1,139,silver,silver,2,0.2764740607386823,-0.04463134133466305,0.09997526819836461
ELL2,137,silver,silver,2,0.2648095282731501,0.2698945316709331,0.08694491793228461
MTDH,141,silver,silver,2,0.006330021415998973,-0.05834170051022394,0.07185458933500825
IQSEC1,136,silver,silver,2,0.25907131194058797,-0.013431756974032674,0.06532769243738198
RAC1,139,silver,silver,2,0.17955861716926133,-0.03273523970054251,0.06010344858703679
EIF5,134,silver,silver,2,0.25334973824974233,0.04856456594527535,0.02780947329757134
PPP2R5A,134,silver,silver,2,0.21755089487349064,0.146238498887676,0.026014424221279774
NUCKS1,136,silver,silver,2,0.23812329739529278,0.2569947725283799,0.011659314121531546
G3BP1,133,silver,silver,2,0.29659781429028936,0.013694246172977174,-0.03202525277683293
PLIN2,134,silver,silver,2,0.08190387104630377,0.1408738333015759,-0.05622492916159593
