,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
BAAT,4,black,black,0,0.9710188738639607,-0.9816770624482823,0.1531470408367024,-0.11955267057478901,0.02238190464921263,0.8495957361840579
NEDD4L,4,black,black,0,0.9708907564953903,-0.9846328700833149,0.153998748549159,-0.15054755670051376,-0.058180208200160864,0.8523183658991055
AR,4,black,black,0,0.970732876151258,-0.9806780949252564,0.15317022313149772,-0.11630571731662491,-0.005585415772647879,0.8520264116130919
CYP8B1,4,black,black,0,0.9706185069561355,-0.9820327040246235,0.15297245935369197,-0.14327770675321935,0.08063551735954998,0.8492172632815769
DENND5B,6,black,black,0,0.9703883046431577,-0.9711660285672329,0.18537828590262032,-0.17868539378317022,0.09533978901185326,0.8239636309304711
APOA1,6,black,black,0,0.9703105086290794,-0.85160820267096,0.5180863751161698,-0.44147758325029207,-0.03253040400394021,0.5878017611104654
IRS1,4,black,black,0,0.9702713633363776,-0.9859132437405811,0.15367258903771244,-0.18779847220878607,0.055175672021497826,0.8486800821624106
STARD10,4,black,black,0,0.9702428424965699,-0.9879274378186508,0.15388186060729453,-0.24328445206910823,0.1064985416152226,0.8524195370571404
PSMD1,6,black,black,0,0.9701522845692753,-0.9647142100010462,0.21796496955414263,-0.24016403213426857,-0.10466198110532104,0.806839632565529
SLC7A2,4,black,black,0,0.9699793641922191,-0.979559518569346,0.152502284372843,-0.13932798224773849,0.11573626242229572,0.8507622561139816
IL1R1,4,black,black,0,0.9699647119299999,-0.9843868178743862,0.15394634739375118,-0.1460810796039914,-0.0688756600532026,0.849327335317294
ONECUT2,4,black,black,0,0.9698384538565477,-0.9790389431273485,0.15278842692393968,-0.10538493064364275,0.0162421678468294,0.8496917381719996
EPC1,6,black,black,0,0.9698206138626929,-0.8861935675466143,0.4131745406815146,-0.2811636031788781,-0.1553946368025608,0.6610419200514661
C5,4,black,black,0,0.9697620413334184,-0.9858981847928026,0.154101414834092,-0.17090950556057044,-0.049759706398159666,0.8489311862895875
FBXW7,6,black,black,0,0.9696946393985245,-0.8619212599095325,0.5107045550954286,-0.5429358321630935,0.07713475015579667,0.5891471711811982
AOX1,4,black,black,0,0.9696421561829753,-0.982122090599518,0.15276823937406672,-0.19854667269155632,0.16543512315531206,0.8528586738859482
SLCO1B1,4,black,black,0,0.9694470013114547,-0.9863024934471226,0.1535921983452938,-0.2192801464972143,0.09891089220618024,0.8491643504764519
SDHC,4,black,black,0,0.9693770563309096,-0.97889625363497,0.15290077790947515,-0.1114031674326254,-0.0069006853789614075,0.8509771407651124
TRIP12,6,black,black,0,0.9693193295605325,-0.9770152850548239,0.15805772470733984,-0.10168529607535826,-0.01946721479029674,0.8447537652043599
ITPR2,6,black,black,0,0.9692714105512689,-0.8773702869934946,0.46759348623323943,-0.4626468469324383,-0.0619982439109579,0.6177374386488649
ACAP2,6,black,black,0,0.9692187044371384,-0.8748714819406156,0.47744352201763407,-0.4871111599433299,-0.09412221767897591,0.6135182949979963
PCK1,4,black,black,0,0.96920282934529,-0.9843214317473928,0.15311246835572007,-0.23067704988107737,0.1649561073190306,0.8524332708167618
MAN2A1,6,black,black,0,0.9691746166610048,-0.876598285831194,0.45177837060891385,-0.48768047482020926,0.2271230994452539,0.6351304117333068
CERS2,4,black,black,0,0.9689404645325563,-0.984066404049166,0.15314467132410717,-0.20129408738354626,0.12080952555783589,0.8482475969104123
CYP27A1,4,black,black,0,0.9688948054287273,-0.9823722176940303,0.15292198995803238,-0.17394587076501433,0.10558624086524825,0.8475038032290672
RBM33,6,black,black,0,0.9686408927154991,-0.8436361124258682,0.534083791467401,-0.46926518523386695,0.037316043000196954,0.5744952360122084
HPX,4,black,black,0,0.9684040798748481,-0.9833587676062776,0.15385362498462887,-0.16563350714649042,-0.06813889400262622,0.850705897640324
HMGCS2,4,black,black,0,0.96835461496267,-0.9777638456634479,0.15233925933656747,-0.14537551345396074,0.10211129241706285,0.851812348351561
ADH1B,4,black,black,0,0.9683405464150505,-0.979108414249411,0.15226274140163806,-0.17297086082367288,0.1672921901720768,0.8506434973775145
IGFBP1,4,black,black,0,0.9683268122515711,-0.9809915868957592,0.1524911308408723,-0.19588880188554791,0.17922114012829424,0.8499067270066607
AGT,4,black,black,0,0.9682646831966725,-0.9796182457631465,0.15320414842067925,-0.10926721520924003,-0.0683932207121132,0.8480014298956551
ADH4,4,black,black,0,0.9681010463921392,-0.9841894053388752,0.15313538536148572,-0.21844696682442016,0.13168419078902574,0.8480688313571999
