,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
RBM6,6,darkgrey,darkgrey,1,-0.7337367865217398,0.8108879765633549,0.092404115860139,0.018161205451809246,-0.33129878034755494,-0.8095299205978004
ACTG1,6,darkgrey,darkgrey,1,-0.7930374751943136,0.8030077457284647,-0.13570481985039845,0.27366096490511727,-0.48806882304733634,-0.6814217220203043
CBLB,6,darkgrey,darkgrey,1,-0.9487226881362077,0.8027164793197776,-0.5864028398820867,0.5247069563043556,-0.1291020362243946,-0.5158498636268393
TTC39C,6,darkgrey,darkgrey,1,-0.6610886358654986,0.7986595072604465,0.21888843809457528,-0.10104890790661109,0.39079926294476847,-0.8222063569850878
SPATA13,6,darkgrey,darkgrey,1,-0.9286538867762962,0.7948729519976042,-0.5878041107450699,0.6386724021396709,-0.012495906794909192,-0.4927033556686667
RPL26,6,darkgrey,darkgrey,1,-0.8696583691869,0.7889502475459007,-0.35250812981446206,0.05199411120908156,0.22639097709956302,-0.5999235870731017
CDK6,6,darkgrey,darkgrey,1,-0.6758116261557003,0.7871627155750269,0.17434383479038276,-0.2535912699545052,0.517295714857473,-0.797784816591994
FOXO1,6,darkgrey,darkgrey,1,-0.6510016021441294,0.7849432927338543,0.1894989223649088,0.0296304957640514,0.3102128466476127,-0.7908101335136672
HSPE1,6,darkgrey,darkgrey,1,-0.8720400521980488,0.7796572507742908,-0.48078631008172235,0.5786678073224422,0.20320784037168454,-0.5173452859617653
RNF149,6,darkgrey,darkgrey,1,-0.6842490738766944,0.7781882721410937,0.0836289706862416,-0.021081659952147908,0.4588147348489192,-0.7358399880471154
RAP1B,6,darkgrey,darkgrey,1,-0.8991154217665319,0.7780135673803844,-0.5134635826902514,0.3237274094666443,0.27805129655005323,-0.5085707559455892
PTPRJ,6,darkgrey,darkgrey,1,-0.7200551443785643,0.7763772792923004,0.07107267875581398,-0.17907292074464812,-0.14477711802397378,-0.7743677117485909
ERN1,6,darkgrey,darkgrey,1,-0.7174251238905017,0.7741499997925279,0.05028253003501792,0.036986488751391676,-0.6203014733993248,-0.7513309001252395
RNF115,6,darkgrey,darkgrey,1,-0.7798281726950058,0.7676620351316151,-0.2397336413154984,0.4213373558396422,0.22333268892832372,-0.6116911391137783
PLCG2,6,darkgrey,darkgrey,1,-0.8982614070415458,0.7673528153022932,-0.499048615087972,0.2887356862688356,-0.11607263854561443,-0.5250819707559308
RPL10A,6,darkgrey,darkgrey,1,-0.8429919715737747,0.7659513264363904,-0.33926020178299365,0.2636375160176353,-0.34092104280103946,-0.5954204873950563
CDC42SE2,6,darkgrey,darkgrey,1,-0.831028366350745,0.763141318486076,-0.3044928708591428,-0.010953070238905013,0.15060314941899275,-0.5909001141575738
PARP8,6,darkgrey,darkgrey,1,-0.8805304297085313,0.7561312826439429,-0.5555758144196687,0.579374857680288,0.23496093857769465,-0.4739980077407206
TCF25,6,darkgrey,darkgrey,1,-0.9117469665909146,0.7543106252245234,-0.5932282490427897,0.4644595615036332,-0.16885698672555027,-0.47295245886114173
TAOK3,6,darkgrey,darkgrey,1,-0.5669066533491154,0.7530441581376129,0.42901567013381725,-0.2757023592219943,-0.5113492683839086,-0.8748390371999285
RPL29,6,darkgrey,darkgrey,1,-0.699373954394482,0.7512855130282586,-0.0725720556371289,0.3895674428517435,0.11277264050340119,-0.646523102112254
DNAJC1,6,darkgrey,darkgrey,1,-0.8000403326120656,0.7454546416329799,-0.2530488801305502,0.11708860124935011,-0.3151874682624588,-0.6139494950188309
AHNAK,6,darkgrey,darkgrey,1,-0.6414151182532492,0.7387533919265041,0.10927349114579059,0.27499467497960967,-0.6109822188181332,-0.7227769366608667
SAT1,6,darkgrey,darkgrey,1,-0.8727580870906623,0.72922580168423,-0.5476297974507335,0.3355879017763253,0.20617002199270018,-0.4701608621326151
HSPB1,4,darkgrey,darkgrey,1,-0.6920437169781672,0.7254142922333615,-0.014277686462011817,0.13858126630494486,-0.6057297155308407,-0.6872100875377178
DLEU1,6,darkgrey,darkgrey,1,-0.8711724565090797,0.7242045528100902,-0.5540086926860256,0.4765971143471068,-0.3356271285445853,-0.46276575961648675
UQCRQ,6,darkgrey,darkgrey,1,-0.6224544961316416,0.7201748510900282,0.15015474037033974,0.11222890008136152,-0.7171589728450427,-0.7302176068931012
