,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
NCOA3,6,snow,snow,5,0.6927390005545166,-0.7947773029578077,-0.16242741985560982,0.26996281645702713,-0.4305483384993942,0.8098787007269974
CLMN,6,snow,snow,5,0.6142415244875299,-0.7555174563186701,-0.2447242801248643,0.21215565890925478,-0.5098205378838216,0.7877938433267498
KPNA1,6,snow,snow,5,0.5823980775743312,-0.7186164070908477,-0.274875508090657,0.1159528606952613,0.561236402298987,0.7716105677919288
PPP3R1,6,snow,snow,5,0.5244672387105627,-0.6649666366453371,-0.2649830999644262,0.2983007807301912,-0.6004731648661473,0.7084562407939281
PPP2R5A,6,snow,snow,5,0.24657676399532782,-0.47252016449319095,-0.6317052724348945,0.7940782646321956,-0.30309543837505726,0.7047552003547624
LRPPRC,6,snow,snow,5,0.6118669174265539,-0.6771183906781134,-0.14180866412420357,0.43135892907330586,0.04351216071174145,0.7039068616317268
RNF130,6,snow,snow,5,0.3511742186805934,-0.5380702133521693,-0.4258650733645732,0.20444369619803718,0.30019740195938754,0.6463729289711819
CRADD,6,snow,snow,5,0.19672160446957396,-0.42777638126556566,-0.5848002372902484,0.5263693535875393,-0.5674113147223463,0.6265744063869009
CLINT1,6,snow,snow,5,0.5684827679765444,-0.6223206298241727,-0.07847844170951043,0.3308264508609915,-0.5148899022449375,0.6256525947385992
MAP4,6,snow,snow,5,0.4684991458964817,-0.5511077973572954,-0.1782073958821322,0.047139134326033304,0.6191212202333128,0.6100121253631798
TAF15,6,snow,snow,5,0.5141133364517061,-0.599967001355193,-0.1284080947592457,0.25014421863429703,-0.7273503653656638,0.604709216735122
NSMCE2,6,snow,snow,5,0.19613928333085023,-0.3798494817661833,-0.47899171711112104,0.49486218018217637,-0.5154869316814701,0.5564453467609379
RARRES2,4,snow,snow,5,0.16320871140625462,-0.35663842511352656,-0.526028608254091,0.6562842539528274,-0.6228933271509828,0.5494278239806554
ITSN1,4,snow,snow,5,0.18105371805864412,-0.3651208612027906,-0.5026302599315813,0.6800692051446654,-0.643584786906348,0.5471572023515331
APOC4,4,snow,snow,5,0.12257493738515277,-0.3279583811293394,-0.561812842178861,0.6477399490693897,-0.5971267253832014,0.53740757163495
PID1,4,snow,snow,5,0.13630394753840647,-0.32646009131564824,-0.5343054120339265,0.684961373443366,-0.5570574541015406,0.5306382374462667
ZSWIM6,6,snow,snow,5,-0.10528904803232397,-0.16838962206755353,-0.8104752727460524,0.8745989894066918,-0.40413959860122983,0.48857127237128906
UBR2,6,snow,snow,5,-0.37341866828244813,0.09072280517211212,-0.8088443763712311,0.5365202527168889,-0.2740484788152138,0.21992528493277777
RBM47,6,snow,snow,5,-0.22972395391605768,0.05293321500059611,-0.5633178465798656,0.7036193185525305,-0.6153674398255572,0.19090451944769837
ZFP36L1,6,snow,snow,5,-0.4339187965480375,0.20239712655133282,-0.776863245579016,0.8995416516358553,-0.32362747825416777,0.14059547296200153
SEPTIN9,6,snow,snow,5,-0.48927887989093194,0.22244640787887093,-0.8004639044810199,0.5717376110000247,-0.3406012611501995,0.10603846678112613
RAB7A,6,snow,snow,5,-0.5607262558817738,0.2740654730355119,-0.8850719912244726,0.5278236301394237,0.29800737907983244,0.09590987803483877
DAPK1,4,snow,snow,5,0.4046941116833544,-0.18409797191776656,0.6136499023858214,-0.22086353272682,0.2336521098432336,-0.05428351157669707
TCF7L2,4,snow,snow,5,0.3763409425099043,-0.14646072282685266,0.6363945505519624,-0.2588191152895705,0.2638194100351379,-0.09851741331826507
MAP3K5,6,snow,snow,5,-0.054775156107953256,0.1154410843886907,0.05776976003799164,0.504835791802856,-0.4058274221048116,-0.10493402848969566
GSTK1,6,snow,snow,5,0.187322519681652,0.04764025056791067,0.6228292254949068,-0.23378332790261458,-0.11496767481639777,-0.262446771471243
TLN1,6,snow,snow,5,0.04247666722000899,0.13799031481153662,0.44524792463760404,0.1261002714057846,-0.5225315963312557,-0.30071116281252197
HIBADH,6,snow,snow,5,-0.19297147399879663,0.29677516281128663,0.16303824447949328,0.3421481353368806,-0.41804110968797514,-0.31065032701143686
NFAT5,6,snow,snow,5,0.0295467201293943,0.15516982855625236,0.49574277458054916,-0.10005276845973793,-0.7626536586263848,-0.33018860105796277
TMBIM6,6,snow,snow,5,0.0008704092248233994,0.18989557234396998,0.4725893527257425,-0.043571752959919594,-0.4656666256184562,-0.33820941334221394
GOLPH3,6,snow,snow,5,0.17347121179870537,0.08135041580505535,0.6834637476337287,-0.15847854324482197,-0.3235501057448637,-0.34222581463249885
NDUFA4,5,snow,snow,5,-0.36057031820427243,0.4263471883355526,0.07820773065326703,0.30684323164816235,-0.8021680147954628,-0.4143210621690784
CAPZB,6,snow,snow,5,-0.1315999082909669,0.3488743378595463,0.5130872707092793,-0.04244398364589495,-0.3939101207063509,-0.5039131383325449
INSR,6,snow,snow,5,-0.06770242385797261,0.3001833443305481,0.5880889790869196,-0.07455310584287082,-0.6203232508574343,-0.5056705894280156
CD63,5,snow,snow,5,-0.5903396152437618,0.6143229497613308,-0.06485385969551812,0.36027556958157436,-0.7793896090077778,-0.540199852952894
FAM107B,6,snow,snow,5,-0.3641311030756799,0.5109817503077331,0.2559792512261773,0.12910420294905742,-0.08422474610813427,-0.5431876494643165
ASL,5,snow,snow,5,-0.5353301501306951,0.5809857139624803,0.034589091261923985,0.10847432229453798,-0.7260109671801511,-0.548633718552308
SERF2,6,snow,snow,5,-0.6169504605795915,0.6356444085310285,-0.07091981508356987,0.2573967129038625,-0.7055161714936519,-0.5548271998453772
UBC,6,snow,snow,5,-0.07958329071264278,0.34999631606683423,0.7218057563183727,-0.3800443449007566,-0.5317820762137707,-0.603304629025584
ZFAND5,6,snow,snow,5,-0.6027039823488712,0.6600874518987977,0.030202810614050248,0.17217978578859264,-0.6057458941229352,-0.6117273541720004
NFATC3,6,snow,snow,5,-0.10610553625200299,0.37502269511344827,0.7006291981663961,-0.2986304235454867,-0.2690771171728345,-0.6345075312991867
RPS3A,6,snow,snow,5,0.014276401184380122,0.3135143717883595,0.9210531479689482,-0.7293909424290852,-0.026381477927609857,-0.6646017618722018
TMED10,6,snow,snow,5,-0.25401645474503326,0.4848823209042643,0.5811122310110197,-0.2475376515662459,-0.621502650522281,-0.6743332789652327
NFKB1,6,snow,snow,5,-0.1830294750141392,0.45686841442879766,0.7056425818636453,-0.2945399908744725,-0.4801331751386692,-0.7081581140445135
SOD1,6,snow,snow,5,-0.12610748080500292,0.4300607029459426,0.8156976426430468,-0.5492266548097242,-0.099109605608918,-0.7326187120054315
IRS2,6,snow,snow,5,-0.31720752685516784,0.5776270108245177,0.6526260299898027,-0.31056721197329284,-0.5194623680657816,-0.7954967349346733
SSH2,6,snow,snow,5,-0.3443994118398229,0.6195470762553943,0.7031971528127453,-0.4479362049354202,-0.3122065356955279,-0.8638808539385364
