"tf_name","motif_id","gene","grn_weight"
"FOS::JUNB","MA1134.1","AKTIP",-0.00745028741334415
"FOXC2","MA0846.1","ABCB10",-0.00748661692801729
"RXRB","MA1555.1","ABCB10",-0.00751713817335393
"FOSL2","MA0478.1","AKTIP",-0.00752535302473834
"HNF4A","MA1494.1","PSD4",-0.00766453505956244
"PRDM9","MA1723.1","ABCB10",-0.00769917464484859
"ZNF669","MA1985.1","AKTIP",-0.00771486137100608
"BATF","MA1634.1","PSD4",-0.00778518171955635
"CTCF","MA1929.1","SNAI3",-0.00786002475462029
"SPIB","MA0081.2","ABCB10",-0.00786814171528597
"SP4","MA0685.2","ABCB10",-0.0079961391580394
"FOSL2::JUND","MA1144.1","AKTIP",-0.00803287111219225
"KLF12","MA0742.2","ABCB10",-0.00804889147242073
"RARB","MA1552.1","AKTIP",-0.00813066708764394
"JUND","MA0491.2","ABCB10",-0.00818476029955241
"SOX4","MA0867.2","ABCB10",-0.0081867798997613
"KLF2","MA1515.1","SNAI3",-0.00821453982900481
"FOSL1::JUN","MA1128.1","ABCB10",-0.00821808102606227
"JUN","MA0488.1","PSD4",-0.00823915093801911
"ZBTB6","MA1581.1","AKTIP",-0.0082407659234151
"BACH2","MA1101.2","PSD4",-0.00826483333775196
"KLF12","MA0742.2","AKTIP",-0.00834127338705033
"MSX1","MA0666.2","CSNK2B",-0.00836848318435843
"MSX2","MA0708.2","CSNK2B",-0.00836848318435843
"POU2F3","MA0627.2","ABCB10",-0.0084080013743076
"KLF7","MA1959.1","AKTIP",-0.00845770183868011
"ZFP14","MA1972.1","CSNK2B",-0.00846210638602458
"ZNF76","MA1716.1","AKTIP",-0.00847554723222268
"ZKSCAN5","MA1652.1","AKTIP",-0.00849540439978497
"EGR4","MA0733.1","FAAP20",-0.00854907189390983
"IKZF1","MA1508.1","SNAI3",-0.00864938816970998
"PHOX2B","MA0681.2","CSNK2B",-0.00867084616369931
"BACH2","MA1101.2","AKTIP",-0.00871972218451968
"BSX","MA0876.1","PSD4",-0.00873818740221223
"MSX1","MA0666.2","PSD4",-0.00874554934666593
"MSX2","MA0708.2","PSD4",-0.00874554934666593
"FOSL2::JUN","MA1130.1","AKTIP",-0.00875594791189653
"SNAI2","MA0745.2","CCL5",-0.00884680601181983
"FOSL2::JUNB","MA1138.1","PSD4",-0.00890038969550985
"DLX1","MA0879.2","PSD4",-0.00890495364067557
"SNAI1","MA1558.1","AKTIP",-0.00891809153315543
"KLF16","MA0741.1","SNAI3",-0.00909849033836993
"JUND","MA0491.2","AKTIP",-0.00920922857177872
"FOSL2::JUN","MA1130.1","PSD4",-0.00920925922004465
"JUN::JUNB","MA1132.1","PSD4",-0.00922807240820527
"ETV5::DRGX","MA1944.1","PSD4",-0.00926496160351919
"RARG","MA1553.1","AKTIP",-0.00936049021996866
"ETV1","MA0761.2","SNAI3",-0.00944585366271848
"DUXA","MA0884.2","PSD4",-0.00951913613394112
"POU2F3","MA0627.2","AKTIP",-0.00954418013257632
"ERF::FOXI1","MA1935.1","ABCB10",-0.00960337686089699
"PPARD","MA1550.1","ABCB10",-0.00972263440195112
"ZNF85","MA1720.1","ABCB10",-0.00972305795286385
"SP8","MA0747.1","SNAI3",-0.00973090331608371
"ZNF324","MA1977.1","SNAI3",-0.00982272843367761
"FOSL1::JUNB","MA1137.1","AKTIP",-0.00984015309274797
"KLF3","MA1516.1","AKTIP",-0.0098413026779021
"FOS::JUNB","MA1134.1","PSD4",-0.00985122768234125
"TCF3","MA0522.3","SNAI3",-0.00989684026732337
"ZNF16","MA1654.1","SNAI3",-0.00992356904053694
"PATZ1","MA1961.1","FAAP20",-0.00999181401299639
"SP5","MA1965.1","ABCB10",-0.00999634347155829
"SP9","MA1564.1","SNAI3",-0.0100435416911909
"ISX","MA0654.1","CSNK2B",-0.010204696497093
"FOXB1","MA0845.1","AKTIP",-0.0103084082488478
"JUNB","MA0490.2","ABCB10",-0.0103509614732456
"DMRT3","MA0610.1","PSD4",-0.0105100707385807
"MAFG::NFE2L1","MA0089.2","PSD4",-0.0105839181885445
"ZNF354A","MA1978.1","AKTIP",-0.0106334695453694
"TFAP2A","MA0003.4","AKTIP",-0.0106450673267943
"TFAP2C","MA0814.2","AKTIP",-0.0107170397877338
"SCRT2","MA0744.2","CCL5",-0.0107809945543595
"SPIB","MA0081.2","CSNK2B",-0.0108594301164337
"NR2F1","MA1537.1","PSD4",-0.0109110944661093
