"tf_name","motif_id","gene","grn_weight"
"JUN","MA0488.1","HSP90AA1",0.0391884006135287
"ZNF530","MA1981.1","THRA",0.039158707354736
"ZNF454","MA1712.1","PLCG2",0.0390999541430826
"FOSL2::JUNB","MA1139.1","HSP90AA1",0.0390850528157165
"USF1","MA0093.3","PLCG2",0.0390416556482283
"ZNF549","MA1728.1","CD55",0.0389126171149051
"KLF5","MA0599.1","WNK2",0.0385307440958414
"ZNF143","MA0088.2","ZNF407",0.0375459460910795
"TEAD4","MA0809.2","ZNF407",0.0373037082153871
"ZNF148","MA1653.1","WNK2",0.0372767697281974
"FOSL2::JUND","MA1145.1","PLCG2",0.0369588878393218
"FOSB::JUNB","MA1136.1","PLCG2",0.0364896728361288
"EBF3","MA1637.1","WNK2",0.0362729969607939
"FOXG1","MA0613.1","ZNF407",0.0362171721605283
"FOSL2::JUND","MA1145.1","HSP90AA1",0.0361378431799638
"MEIS1","MA0498.2","CD55",0.0359875052177387
"ZNF692","MA1986.1","WNK2",0.035922646265847
"ETV7","MA1708.1","WNK2",0.0357972031926758
"DPRX","MA1480.1","TCF25",0.0356376896473137
"ZNF24","MA1124.1","RPL13",0.0356049418742363
"SP1","MA0079.5","HSP90AA1",0.0353536278408881
"ZNF93","MA1721.1","WNK2",0.0351349390664031
"CDX2","MA0465.2","CD55",0.0351289810255664
"ZBTB12","MA1649.1","PLCG2",0.0350496824371507
"SRY","MA0084.1","CD55",0.0349960515456125
"POU4F1","MA0790.1","MOK",0.0347598943584385
"ZNF93","MA1721.1","MOK",0.0345529881167361
"HNF4A","MA0114.4","CD55",0.0343586010112095
"JUN","MA0488.1","PLCG2",0.0342205959087643
"RFX7","MA1554.1","LEPR",0.0339930484982281
"ZNF341","MA1655.1","RPL13",0.0339383522113536
"ASCL1","MA1631.1","MOK",0.0338880346535703
"CREB1","MA0018.4","PLCG2",0.0338585706381557
"ELF4","MA0641.1","LEPR",0.0337706402187026
"NKX2-2","MA1645.1","LEPR",0.0337490476660043
"ZIC4","MA0751.1","WNK2",0.0337172897257974
"KLF15","MA1513.1","WNK2",0.0336260055031105
"JUNB","MA1140.2","TCF25",0.0335931078688797
"ZNF140","MA1589.1","THRA",0.0333385993303966
"ETV5::FOXI1","MA1946.1","LEPR",0.0330338795478895
"KLF4","MA0039.4","HSP90AA1",0.0329425799276798
"ATF2","MA1632.1","HSP90AA1",0.0328907406381818
"ETV5::HOXA2","MA1948.1","THRA",0.0327003399443681
"ZBTB7A","MA0750.2","LEPR",0.0326866782819261
"EBF1","MA0154.4","THRA",0.0326385140213235
"POU3F4","MA0789.1","LEPR",0.0325443984860667
"SP4","MA0685.2","HSP90AA1",0.0323690341686251
"HOXB2::ELK1","MA1957.1","LEPR",0.0323416462446981
"E2F6","MA0471.2","PLCG2",0.0322371234699317
"ELK1::SREBF2","MA1933.1","THRA",0.0320958229771263
"ZNF320","MA1976.1","LEPR",0.0320426126612456
"EGR2","MA0472.2","THRA",0.0316888945406556
"SP2","MA0516.3","TCF25",0.0314680433951824
"OLIG3","MA0827.1","ZNF407",0.0314234169713297
"HEY1","MA0823.1","RPL13",0.0313746657027152
"KLF9","MA1107.2","THRA",0.0311031284323405
"TCFL5","MA0632.2","MOK",0.0310650153589212
"ELF2","MA1483.2","HSP90AA1",0.0309529933445675
"SOX14","MA1562.1","CD55",0.0308270109863755
"TFAP2B","MA0811.1","WNK2",0.0308042722438182
"GRHL2","MA1105.2","CD55",0.0307515201090251
"PLAG1","MA0163.1","THRA",0.0306632333960106
"ZNF282","MA1154.1","WNK2",0.0306354403568889
"EGR1","MA0162.4","THRA",0.0305512986975438
"FOSB::JUN","MA1127.1","PLCG2",0.0305424421975617
"ZIC5","MA1584.1","WNK2",0.0304704305190285
"ELK4","MA0076.2","THRA",0.0304653767513454
"TEAD2","MA1121.1","PLCG2",0.0299458263254305
"SREBF1","MA0595.1","PLCG2",0.0297044243181316
"NOTO","MA0710.1","LEPR",0.0296506598200315
"GRHL2","MA1105.2","ZNF407",0.0293130089469614
"ASCL1","MA1631.1","TCF25",0.0292000877103843
"ATF7","MA0834.1","HSP90AA1",0.0290726682814074
"ATF7","MA0834.1","PLCG2",0.0290607478242729
"TEAD1","MA0090.3","ZNF407",0.0290482472940391
"POU5F1B","MA0792.1","LEPR",0.0290013415075475
"ASCL1","MA1631.1","WNK2",0.0289968195345934
"ZFP57","MA1583.1","MOK",0.028694580685771
"TFAP2A","MA0810.1","PLCG2",0.0279223899438939
"NKX6-3","MA1530.1","LEPR",0.0278815415849222
"FOXD1","MA0031.1","ZNF407",0.0276626592959435
"POU3F1","MA0786.1","LEPR",0.0276188820610864
"FOXK1","MA0852.2","ZNF407",0.0274193799398085
"POU2F3","MA0627.2","ZNF407",0.027305159550851
"HES2","MA0616.2","ZNF407",0.0272879257690603
"NR3C2","MA0727.1","LEPR",0.0270450088591179
"NHLH2","MA1529.1","THRA",0.02694557184645
"ETS2","MA1484.1","THRA",0.026844270430928
"TFAP2E","MA1569.1","CD55",0.0268429719541973
"ZNF460","MA1596.1","RPL13",0.0266682441879331
"FOSB::JUN","MA1127.1","HSP90AA1",0.0265338570003588
"JUND","MA0492.1","HSP90AA1",0.0264035165359086
"CTCF","MA1929.1","WNK2",0.0262805406022971
"GATA1","MA0035.4","RPL13",0.0261488362446192
"OLIG2","MA0678.1","ZNF407",0.0259736882463877
"TWIST1","MA1123.2","MOK",0.025897760308057
"EGR4","MA0733.1","THRA",0.0258913137879627
"CTCF","MA1930.1","MOK",0.0257025853078199
"TFAP4","MA0691.1","WNK2",0.0255454065434783
"ETV3","MA0763.1","HSP90AA1",0.0252870320739579
