,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
TLCD4,131,gainsboro,gainsboro,3,-0.7708874043917145,0.21701787776726597,-0.39891523231508713,0.867597070336462,0.1866609083710721
SERPINC1,143,gainsboro,gainsboro,3,-0.6655457827453757,0.14924611212078712,-0.4091234350135841,0.8675418470400772,0.09155137428042051
C8A,110,gainsboro,gainsboro,3,-0.7645355488015445,0.17374752822767944,-0.4456252319550893,0.8671612188532685,0.3137897585503718
BAAT,147,gainsboro,gainsboro,3,-0.7271753696582123,0.1600634993268884,-0.4121835778530646,0.8664749855231565,0.044355917926474614
C3,161,gainsboro,gainsboro,3,-0.792853448334872,0.26173831679799153,-0.3279494924351123,0.8651078077938905,0.14497686260037465
FGG,160,gainsboro,gainsboro,3,-0.7907351909724338,0.3079257250082173,-0.2839949753401069,0.8632162727223573,0.09816360722369281
ITIH1,133,gainsboro,gainsboro,3,-0.7326739077218218,0.21798267004156405,-0.370233860706134,0.8627637470268601,0.17145412206913302
AHSG,152,gainsboro,gainsboro,3,-0.7171718503293878,0.13935705532920897,-0.42151366145330965,0.8624465062685542,0.07070137735459511
PAH,148,gainsboro,gainsboro,3,-0.7112659860956786,0.19637072566463884,-0.3662982692213884,0.8622420297465909,0.012165806838697266
SERPINF2,138,gainsboro,gainsboro,3,-0.8020699158167481,0.3202475453248645,-0.2830312532774026,0.8600693435151381,0.17061478105162473
ACSM2A,132,gainsboro,gainsboro,3,-0.7266366495882778,0.17677747235521193,-0.3974019130242228,0.8595255638552288,0.0730743940169302
CFHR1,132,gainsboro,gainsboro,3,-0.644025024408099,0.13100514562633295,-0.41099502399928173,0.8532342936923965,0.03718594421516147
APOE,166,gainsboro,gainsboro,3,-0.7002619486550854,0.12856170831443975,-0.4295812955670691,0.8524007614403932,0.09463792254821624
CP,149,gainsboro,gainsboro,3,-0.8031994677940621,0.2773748783575107,-0.32526862673167917,0.8522868547305499,0.17384892999405868
TF,161,gainsboro,gainsboro,3,-0.7865430869467818,0.4128178559784456,-0.1665033226660485,0.8522112958076461,0.022182517021806392
ITIH3,126,gainsboro,gainsboro,3,-0.7747414631949276,0.3034617849247686,-0.2967511716988628,0.8498644257310038,0.22737893459461905
F12,117,gainsboro,gainsboro,3,-0.7703630095654206,0.18538413844812068,-0.41730547830909087,0.8491902546402738,0.32096658815899876
HGD,129,gainsboro,gainsboro,3,-0.6941703478497802,0.09970351266929672,-0.4765528107185755,0.846700158500644,0.17236533592079495
APOB,169,gainsboro,gainsboro,3,-0.7706510841551357,0.35513659683494114,-0.22049914097048942,0.8464478509894335,0.10583891710935578
CYP3A5,141,gainsboro,gainsboro,3,-0.8180581331721019,0.331489756197995,-0.2656668701049658,0.8455589588361143,0.14024696763243055
APCS,133,gainsboro,gainsboro,3,-0.758484273190619,0.19447730040581512,-0.38049828646732636,0.8444396410306712,0.08564215628312233
G6PC,122,gainsboro,gainsboro,3,-0.7394700035625851,0.18201938328122916,-0.4168637040185518,0.8429623571944345,0.28904707010968644
