,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
ZMYM4,218,darkgrey,darkgrey,1,-0.2681680512948431,0.2428717163974686,0.0702050076965558,0.17705448903840607,0.004726519873563563
HIPK2,222,darkgrey,darkgrey,1,-0.37650835148136735,0.22923381936585985,-0.04438963083665283,0.36379081995341767,0.156040367602395
LINC01578,223,darkgrey,darkgrey,1,-0.09012018034852054,0.22591533621540508,0.21242454453019813,0.09981605339244454,-0.34826022941013585
PRKAG2,221,darkgrey,darkgrey,1,-0.25967409974067013,0.21583011261553736,0.07691601613450064,0.1488867159043947,-0.018783914287501337
TACC1,221,darkgrey,darkgrey,1,-0.21774197313483337,0.21167094200041933,0.08041280756463605,0.21062709682391387,-0.02376511900645369
RAB1A,222,darkgrey,darkgrey,1,0.1433137264874236,0.1662171945734948,0.30836781499578264,-0.17618217456940277,-0.3042132389584957
SF3B1,221,darkgrey,darkgrey,1,-0.31077175736533413,0.14484743260628694,-0.03669580498062002,0.25483899355614054,0.0025654272803844677
ELF2,219,darkgrey,darkgrey,1,-0.09754778542919963,0.13632064145403083,0.10085415944205832,0.03980035990120187,0.05735772197359579
SON,223,darkgrey,darkgrey,1,-0.15778705588823277,0.13593714094663717,0.08230911148143946,0.0009967025921108852,-0.03410598781950568
IQSEC1,222,darkgrey,darkgrey,1,-0.24127888331078276,0.12498554898654164,-0.05012479271983561,0.2624282364737797,0.05084087744604132
CPEB4,217,darkgrey,darkgrey,1,-0.07059250420405352,0.118182601858468,0.03210358536375382,0.11865719875220598,-0.09321087654608022
SPTAN1,222,darkgrey,darkgrey,1,0.09032146890137757,0.07088764340947924,0.09985639191499394,-0.0246764325555313,-0.03354977625618218
PTPRM,218,darkgrey,darkgrey,1,-0.18598979880148536,-0.03679541620551148,-0.12021497067080152,0.1095801914193026,0.11261539758535795
YWHAZ,223,darkgrey,darkgrey,1,0.02227599093475692,-0.11352479053613872,-0.10654699727746865,0.04997799256775997,-0.01486525867234272
STOM,215,darkgrey,darkgrey,1,-0.30264780661772084,-0.12601911974388266,-0.3462231667624731,0.2953734339573174,0.25184878985254294
XBP1,209,darkgrey,darkgrey,1,-0.25924958131898546,-0.15857577880008553,-0.39707180936563546,0.3303423977537439,0.18152811566654414
DDX3X,222,darkgrey,darkgrey,1,0.061386707438369575,-0.16194579441340315,-0.12222372395515513,0.01834897415799525,-0.15164893120484127
EIF4B,221,darkgrey,darkgrey,1,-0.13149987825329154,-0.16650240224893212,-0.2909412856211014,0.16636343722609828,0.34990268577559236
ITM2B,222,darkgrey,darkgrey,1,-0.30658735491984834,-0.16947054518631371,-0.40658795870719106,0.3198757540905999,0.2311574773835057
FGD4,199,darkgrey,darkgrey,1,-0.031552953908073694,-0.19412544465703643,-0.24806143640739445,0.09410096355728607,0.3188507192969765
LDHA,209,darkgrey,darkgrey,1,-0.06671665949874378,-0.196523985074794,-0.2979548357861923,0.22504695139534428,0.1078921431059691
SERBP1,220,darkgrey,darkgrey,1,0.012236352690456287,-0.22981430056498284,-0.2903409554789846,0.14602198565872623,0.1396303806310651
UHMK1,206,darkgrey,darkgrey,1,-0.25681878219597043,-0.25001660709553764,-0.4993595759536031,0.3851044369771344,0.24942987546181863
PLIN2,217,darkgrey,darkgrey,1,0.08715372690115669,-0.2527771814671644,-0.21794059065202057,0.035732385419279845,0.17756200512558495
TLN1,216,darkgrey,darkgrey,1,-0.1986613269791783,-0.2596947651269545,-0.47393353394506454,0.29314051623818776,0.2954189685005019
TRIO,217,darkgrey,darkgrey,1,0.05379937666297341,-0.2731729606088209,-0.2722450974127118,0.018328922029342526,0.27944602110249495
SOD1,211,darkgrey,darkgrey,1,0.010369769379550054,-0.3064678092370207,-0.33809690603699816,0.1695753419518542,-0.15584682895880772
SMIM14,196,darkgrey,darkgrey,1,-0.26465633336893424,-0.30932282898069274,-0.559155653122206,0.3842939499042064,0.37148772926887724
CD99,223,darkgrey,darkgrey,1,0.05867209779213616,-0.32207761741938157,-0.3334659156048547,-0.04896527640781669,0.30646349395278516
PNRC1,217,darkgrey,darkgrey,1,-0.0992143842721123,-0.3376931880324192,-0.4701369457447775,0.20416909837815128,0.1972610292999053
TMBIM6,217,darkgrey,darkgrey,1,-0.21039041396180805,-0.35095813885602123,-0.5876160106633463,0.36114866639514265,0.2745390556417533
ETFB,194,darkgrey,darkgrey,1,-0.0791972242473399,-0.3544135969671767,-0.49429555794057994,0.3252267748910385,-0.028847157058057706
ZFP36,215,darkgrey,darkgrey,1,0.012841297870631554,-0.35450131339295604,-0.3607709346575749,0.07007125118881295,0.12711647961320777
SLC38A2,223,darkgrey,darkgrey,1,0.01808114332524992,-0.35563405024690653,-0.4354670238721647,0.21950530186803674,-0.06822817120045727
KRTCAP2,192,darkgrey,darkgrey,1,-0.11037277583936597,-0.37417855380271076,-0.5590659058029633,0.34043922215348127,0.18353934968528446
PPIB,202,darkgrey,darkgrey,1,-0.21414955976978425,-0.3871148767337332,-0.6325523859805502,0.4254800009166422,0.24817122767954405
EEF2,215,darkgrey,darkgrey,1,-0.22671369643212583,-0.3940243405884113,-0.6605373014120807,0.40929025936599267,0.37575641756282224
