,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
RPSA,24,silver,silver,8,-0.06998116476683658,-0.37273282754936665,-0.5018061752294465,-0.31543676518782676,-0.33087029497018444,-0.4568650923980849,-0.38971590720678145,-0.736565284855316,0.9482351374752787,-0.5530419363387895,-0.39362150996622364
CST3,23,silver,silver,8,-0.1817683287347523,-0.39779205905409204,-0.5775054789082169,-0.23618468257252526,-0.45227317180241067,-0.4603766233658873,-0.36909462297013007,-0.608876889300135,0.9477044317895066,-0.5228588296145482,-0.3598941634250172
HLA-A,24,silver,silver,8,-0.06906330570487677,-0.3570980494801,-0.5166393396457573,-0.30767271442285277,-0.3234516392121535,-0.44763163892009883,-0.3908338781866724,-0.7410088415338393,0.9475367200926262,-0.5249579046008533,-0.4132889647973323
SERF2,24,silver,silver,8,-0.25589451183863915,-0.30981125409574856,-0.44398722634387233,-0.12877448808146255,-0.29963219470195834,-0.287498581887369,-0.2911920941392413,-0.6660870328219919,0.9470178469379518,-0.3906953853874348,-0.3840174648087045
COX7C,23,silver,silver,8,-0.19036864412339666,-0.3656131423100557,-0.6203754571976682,-0.2445487693637716,-0.4764448758122998,-0.4701797399004833,-0.37638576903369103,-0.6660707328945941,0.9459892822789103,-0.5705078769666998,-0.3735919671706506
RPL28,24,silver,silver,8,-0.01935850611854353,-0.3564455007673254,-0.5517777247207956,-0.359336278930074,-0.341613519812446,-0.5007709800187405,-0.4349059740198252,-0.7543851795894624,0.9445296293157509,-0.5829160571804921,-0.4009479313647756
RPL23,23,silver,silver,8,-0.08619986342157357,-0.4270884105332811,-0.6380266351379054,-0.3430949490930318,-0.49809124472715116,-0.5583574583349573,-0.445328001785763,-0.7035886290562247,0.9437449919104584,-0.6220109731067915,-0.4408573784030898
RPS27,23,silver,silver,8,-0.05163992381513091,-0.435675739448947,-0.6628935586691184,-0.3798972353378923,-0.45239535458156926,-0.5551186177029286,-0.4240283942876326,-0.702433988217672,0.9427012931182173,-0.6417038891444772,-0.4466769659873586
RPL36A,23,silver,silver,8,-0.07234462163660124,-0.443005782188773,-0.6221352792622208,-0.36537356143967653,-0.4968641426000835,-0.5545924238315144,-0.439973533054356,-0.6728717339289562,0.9386293343243488,-0.6401256502106498,-0.43972943220714367
RPL7A,23,silver,silver,8,-0.4023258751515066,-0.24291014478013717,-0.4187102975844087,-0.020753236698657848,-0.4112154704068654,-0.29621500581998805,-0.20571502767152663,-0.5663849959194303,0.9381703105096969,-0.3603754630554356,-0.23676479851328056
TMSB10,23,silver,silver,8,-0.01749600242440592,-0.45124617189302263,-0.669447650351456,-0.40229315797320747,-0.4330002618952395,-0.5639192320303277,-0.43036802763405363,-0.6989122388465236,0.9378103284243361,-0.6600116185135833,-0.4507751645030615
CD74,24,silver,silver,8,-0.2665430558045722,-0.23243947143969557,-0.39139698027469466,-0.0989140136503329,-0.3251249697211909,-0.3108811843530449,-0.2437593440334681,-0.6124932821695233,0.9361473033600672,-0.37884991785550803,-0.284183761355582
RPS11,24,silver,silver,8,0.05689856455780527,-0.42140159621197765,-0.6095297961559996,-0.43698994909590194,-0.3307234018534472,-0.5276392173527238,-0.4418624445030089,-0.773272420939059,0.9318599159584906,-0.6514717833825887,-0.4603214612302408
RPS15A,24,silver,silver,8,0.06508345160994518,-0.4505596529277898,-0.6335440476112099,-0.44550614917469583,-0.3510475213875556,-0.5490328250444368,-0.47115427454067826,-0.7731477844883515,0.9309467567581426,-0.6572788670047153,-0.47374861526344975
RPS17,23,silver,silver,8,-0.033991768691790866,-0.43744384210201126,-0.6455850561382912,-0.3807569551974875,-0.45016020412108604,-0.5366438259945393,-0.41213953894647365,-0.701030684596466,0.9290207251716708,-0.6608370923071295,-0.46767645843837613
RPS8,24,silver,silver,8,-0.10608379674479428,-0.29417575783053224,-0.47257162639021094,-0.24649833182344572,-0.31351312035556383,-0.3971477948017537,-0.34521097736783013,-0.7172148287366082,0.9264905878748555,-0.4943795608186856,-0.3703908924792785
RPL14,24,silver,silver,8,-0.1262992644534086,-0.3076743092639725,-0.4833816423386762,-0.23584220561348399,-0.3190410490404823,-0.32840708645063055,-0.33440424828295057,-0.7065943555433305,0.9226430572125665,-0.5068272155911605,-0.43114065462004386
RPL3,25,silver,silver,8,-0.29055000010838716,-0.19790600080514628,-0.5272660915313965,-0.11825598255829262,-0.31480761661584616,-0.37760255526298425,-0.2481558856241839,-0.6601253058263347,0.9152357517214099,-0.2974107613797697,-0.32879954723538646
RPL12,24,silver,silver,8,-0.10446894571653587,-0.2601557195310619,-0.4360923173214292,-0.24740102736701566,-0.26191156951021977,-0.45926467672004734,-0.2598297913603274,-0.6925400459580578,0.9109499469208134,-0.4589458142202071,-0.37847129907527033
IFITM2,23,silver,silver,8,0.006933171962709036,-0.5089028020139906,-0.681307191265372,-0.4309741642400959,-0.4821089915489148,-0.6175099303965517,-0.4407206349155333,-0.6704634381009199,0.910569002949469,-0.6986335456265307,-0.41443513320293013
PTPRM,23,silver,silver,8,-0.28320625240108105,-0.29164914386738866,-0.4986263108504265,-0.10410235427076621,-0.50018389045509,-0.3771298537140149,-0.21114436865952424,-0.5334684288653844,0.9065271111657339,-0.41930251527438633,-0.2720998649766189
PRDX1,23,silver,silver,8,-0.43614319810120783,-0.1757696379289429,-0.45006388853679685,0.03868877863053699,-0.49944913596975304,-0.31253250082369677,-0.17694511302037033,-0.5400724992243933,0.9048285405550027,-0.33307263617039734,-0.22586531617122663
CD63,23,silver,silver,8,-0.5177547648785747,-0.09409593344905809,-0.3898868802545609,0.10855567058803246,-0.43336620157295047,-0.20653750757530817,-0.11211024134943433,-0.47958726027101506,0.90262505402278,-0.22479933564818458,-0.18528030450271632
RPL37,24,silver,silver,8,0.09248320258016936,-0.49041424528982147,-0.5606210338765157,-0.4543803197135791,-0.3114656271291359,-0.557799453229217,-0.49893406318498196,-0.7758837901335868,0.9019043558967631,-0.645354735168165,-0.4792859568643298
STOM,23,silver,silver,8,-0.3630838382057137,-0.2814004268132942,-0.42091674835786924,-0.02504164566532666,-0.36351575785238616,-0.35197666524393784,-0.19421896892466278,-0.5173050252654712,0.8996317331428598,-0.3743857487275464,-0.29693270168103064
UBA52,24,silver,silver,8,0.04938253555500208,-0.4342145250847809,-0.6005076961712168,-0.4098860411127206,-0.34346197297169806,-0.5225449810096169,-0.46619330136182263,-0.7336771007804572,0.8983579099457942,-0.608279943280359,-0.4107448686827042
RPLP0,23,silver,silver,8,-0.5553981671249393,-0.12159485874921934,-0.32304554380805034,0.13899410862287084,-0.35046226658678975,-0.17157140357453432,-0.06170720357646262,-0.46248348905898196,0.8943326687772586,-0.2029133963850825,-0.2041540551557301
TXNIP,24,silver,silver,8,-0.21370768990010564,-0.2139863636483952,-0.3663600567852235,-0.11447009509991846,-0.2292732792880053,-0.29137150986725596,-0.2363255399912472,-0.6146748726099196,0.8899502289164435,-0.3412906135783149,-0.27773204096698245
LRMDA,23,silver,silver,8,-0.45553657083806304,-0.22086123900186116,-0.31593205476267855,0.06441219384511612,-0.4233171208884675,-0.2562658069781648,-0.1305852693824053,-0.5076237919513166,0.8833145535142648,-0.29337808167468576,-0.20227188674018934
ATP5F1E,24,silver,silver,8,0.15109254662945137,-0.5053193508591067,-0.6043785170137442,-0.49780536361176797,-0.27542487496169654,-0.5493046368813881,-0.5037388701819177,-0.7614754622975227,0.8684339527529432,-0.6675426070346601,-0.48986642103022043
