"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1587.1","MA1587.1",33,6694,42.8571428571429,16.735,2.56092876349823,6.18732617553497e-08,"ZNF135",1.94619532430464e-06
"MA1965.1","MA1965.1",43,10816,55.8441558441558,27.04,2.06524244985783,9.15471277421141e-08,"SP5",2.69012368824497e-06
"MA1512.1","MA1512.1",36,7941,46.7532467532467,19.8525,2.35503068899367,9.32990874535828e-08,"KLF11",2.69012368824497e-06
"MA0107.1","MA0107.1",22,3281,28.5714285714286,8.2025,3.48325858840946,1.43074352219272e-07,"RELA",3.96029806942944e-06
"MA1653.1","MA1653.1",44,11594,57.1428571428571,28.985,1.97146307203233,2.32954627016057e-07,"ZNF148",6.20017699596583e-06
"MA1107.2","MA1107.2",41,10455,53.2467532467532,26.1375,2.03717850776674,3.79394092361233e-07,"KLF9",9.72373007088789e-06
"MA1972.1","MA1972.1",36,8492,46.7532467532467,21.23,2.20222547118449,5.32176886935565e-07,"ZFP14",1.31523716342647e-05
"MA0471.2","MA0471.2",34,7746,44.1558441558442,19.365,2.28018818258942,6.10369041213346e-07,"E2F6",1.45646681558495e-05
"MA1141.1","MA1141.1",22,3643,28.5714285714286,9.1075,3.13713187718129,8.62424559185756e-07,"FOS::JUND",1.98932598318848e-05
"MA1712.1","MA1712.1",34,7879,44.1558441558442,19.6975,2.24169788835355,9.20417927491962e-07,"ZNF454",2.05461034136915e-05
"MA1599.1","MA1599.1",30,6476,38.961038961039,16.19,2.40648789135509,1.35779436705271e-06,"ZNF682",2.87643736969588e-05
"MA1145.1","MA1145.1",15,1787,19.4805194805195,4.4675,4.36049680593609,1.37171146242723e-06,"FOSL2::JUND.1",2.87643736969588e-05
"MA1150.1","MA1150.1",16,2044,20.7792207792208,5.11,4.06638371413322,1.43616335814767e-06,"RORB",2.9230148348182e-05
"MA0162.4","MA0162.4",33,7734,42.8571428571429,19.335,2.21655768591378,1.94146839861975e-06,"EGR1",3.74407922173232e-05
"MA1976.1","MA1976.1",38,9776,49.3506493506493,24.44,2.01925733840627,1.94778687835785e-06,"ZNF320",3.74407922173232e-05
"MA0478.1","MA0478.1",22,3868,28.5714285714286,9.67,2.95464618111981,2.34724011219446e-06,"FOSL2",4.38997339902316e-05
"MA1710.1","MA1710.1",36,9038,46.7532467532467,22.595,2.06918551685093,2.54402701983048e-06,"ZNF257",4.63280709927024e-05
"MA1632.1","MA1632.1",20,3289,25.974025974026,8.2225,3.15889643952885,2.81611138488263e-06,"ATF2",4.99679250856098e-05
"MA0101.1","MA0101.1",19,3014,24.6753246753247,7.535,3.27476107170865,3.15203641862532e-06,"REL",5.40346117814074e-05
"MA1128.1","MA1128.1",21,3625,27.2727272727273,9.0625,3.00940438871473,3.20147266334928e-06,"FOSL1::JUN",5.40346117814074e-05
"MA0476.1","MA0476.1",22,3954,28.5714285714286,9.885,2.89038225305297,3.37119352728653e-06,"FOS",5.55444266876733e-05
"MA0732.1","MA0732.1",25,4969,32.4675324675325,12.4225,2.61360696055806,3.58228836677692e-06,"EGR3",5.76498499955728e-05
"MA1130.1","MA1130.1",20,3401,25.974025974026,8.5025,3.05486927068815,4.68392141779835e-06,"FOSL2::JUN",7.36653095708285e-05
"MA1142.1","MA1142.1",20,3422,25.974025974026,8.555,3.0361222646436,5.13982569467577e-06,"FOSL1::JUND",7.77080172941731e-05
"MA1928.1","MA1928.1",22,4059,28.5714285714286,10.1475,2.81561257171013,5.16979275184824e-06,"BNC2",7.77080172941731e-05
