"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1581.1","MA1581.1",5,4831,18.5185185185185,12.0775,1.53330726710979,0.221105819718806,"ZBTB6",0.561934260056286
"MA0076.2","MA0076.2",4,3601,14.8148148148148,9.0025,1.64563341458648,0.221687937854575,"ELK4",0.561934260056286
"MA1939.1","MA1939.1",2,1319,7.40740740740741,3.2975,2.24637070732598,0.223245118595613,"ERF::SREBF2",0.563816138934906
"MA0775.1","MA0775.1",3,2437,11.1111111111111,6.0925,1.82373592303834,0.225224197869954,"MEIS3",0.566745981549121
"MA0839.1","MA0839.1",2,1334,7.40740740740741,3.335,2.22111166638903,0.227003392869164,"CREB3L1",0.56915343429515
"MA1121.1","MA1121.1",3,2457,11.1111111111111,6.1425,1.80889069777959,0.228834301107655,"TEAD2",0.571672694463888
"MA0030.1","MA0030.1",3,2480,11.1111111111111,6.2,1.7921146953405,0.233001527434633,"FOXF2",0.5739285919344
"MA0719.1","MA0719.1",2,1359,7.40740740740741,3.3975,2.18025236421116,0.233279879549763,"RHOXF1",0.5739285919344
"MA1641.1","MA1641.1",3,2486,11.1111111111111,6.215,1.78778939840887,0.234091294355219,"MYF5",0.5739285919344
"MA0815.1","MA0815.1",3,2488,11.1111111111111,6.22,1.78635226866738,0.234454790272714,"TFAP2C.1",0.5739285919344
"MA1532.2","MA1532.2",3,2488,11.1111111111111,6.22,1.78635226866738,0.234454790272714,"NR1D2",0.5739285919344
"MA0808.1","MA0808.1",3,2492,11.1111111111111,6.23,1.78348492955235,0.235182139787314,"TEAD3",0.5739285919344
"MA1547.2","MA1547.2",2,1368,7.40740740740741,3.42,2.16590859865714,0.235542948134927,"PITX2",0.5739285919344
"MA1951.1","MA1951.1",2,1388,7.40740740740741,3.47,2.1346995410396,0.240577966871099,"FOS.1",0.584140186227369
"MA0758.1","MA0758.1",2,1402,7.40740740740741,3.505,2.11338299783378,0.244106924556139,"E2F7",0.590636334940028
"MA1154.1","MA1154.1",3,2556,11.1111111111111,6.39,1.73882802990784,0.246881713948432,"ZNF282",0.592484539470778
"MA1648.1","MA1648.1",5,5045,18.5185185185185,12.6125,1.46826707778145,0.248736846130228,"TCF12",0.592484539470778
"MA0051.1","MA0051.1",4,3786,14.8148148148148,9.465,1.56522079395825,0.249219753772692,"IRF2",0.592484539470778
"MA1464.1","MA1464.1",2,1425,7.40740740740741,3.5625,2.07927225471085,0.249911372516584,"ARNT2",0.592484539470778
"MA0773.1","MA0773.1",4,3791,14.8148148148148,9.4775,1.5631564035679,0.249976032489072,"MEF2D",0.592484539470778
"MA0872.1","MA0872.1",3,2573,11.1111111111111,6.4325,1.72733946538844,0.250007927059924,"TFAP2A.1",0.592484539470778
"MA0748.2","MA0748.2",3,2586,11.1111111111111,6.465,1.7186560109994,0.252403463132268,"YY2",0.594767046017988
"MA1468.1","MA1468.1",2,1436,7.40740740740741,3.59,2.06334468172908,0.252690045562555,"ATOH7",0.594767046017988
"MA1112.2","MA1112.2",4,3823,14.8148148148148,9.5575,1.55007217523566,0.25483005080226,"NR4A1",0.59669714456437
"MA0783.1","MA0783.1",3,2602,11.1111111111111,6.505,1.7080877957127,0.255357451297716,"PKNOX2",0.59669714456437
"MA0657.1","MA0657.1",3,2606,11.1111111111111,6.515,1.70546601858958,0.256096895860719,"KLF13",0.59669714456437
"MA0830.2","MA0830.2",5,5110,18.5185185185185,12.775,1.44959049068638,0.257333339031499,"TCF4",0.597566008757709
"MA1938.1","MA1938.1",4,3863,14.8148148148148,9.6575,1.53402172558269,0.260930096472234,"ERF::NHLH1",0.603891728290253
"MA0743.2","MA0743.2",3,2665,11.1111111111111,6.6625,1.66770898478216,0.267045056755629,"SCRT1",0.613982074426207
"MA1643.1","MA1643.1",4,3903,14.8148148148148,9.7575,1.51830026285573,0.26706445722874,"NFIB",0.613982074426207
