"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0661.1","MA0661.1",0,1191,0,2.9775,0,1,"MEOX1",1
"MA0662.1","MA0662.1",0,1108,0,2.77,0,1,"MIXL1",1
"MA0663.1","MA0663.1",0,1298,0,3.245,0,1,"MLX",1
"MA0664.1","MA0664.1",0,1255,0,3.1375,0,1,"MLXIPL",1
"MA0665.1","MA0665.1",0,3185,0,7.9625,0,1,"MSC",1
"MA0667.1","MA0667.1",0,1952,0,4.88,0,1,"MYF6",1
"MA0669.1","MA0669.1",0,1283,0,3.2075,0,1,"NEUROG2",1
"MA0670.1","MA0670.1",0,1979,0,4.9475,0,1,"NFIA",1
"MA0671.1","MA0671.1",0,1662,0,4.155,0,1,"NFIX",1
"MA0048.2","MA0048.2",0,3796,0,9.49,0,1,"NHLH1",1
"MA0672.1","MA0672.1",0,2179,0,5.4475,0,1,"NKX2-3",1
"MA0674.1","MA0674.1",0,1701,0,4.2525,0,1,"NKX6-1",1
"MA0675.1","MA0675.1",0,1671,0,4.1775,0,1,"NKX6-2",1
"MA0678.1","MA0678.1",0,663,0,1.6575,0,1,"OLIG2",1
"MA0068.2","MA0068.2",0,639,0,1.5975,0,1,"PAX4",1
"MA0683.1","MA0683.1",0,2878,0,7.195,0,1,"POU4F2",1
"MA0686.1","MA0686.1",0,1556,0,3.89,0,1,"SPDEF",1
"MA0083.3","MA0083.3",0,1010,0,2.525,0,1,"SRF",1
"MA0009.2","MA0009.2",0,931,0,2.3275,0,1,"TBXT",1
"MA0688.1","MA0688.1",0,3113,0,7.7825,0,1,"TBX2",1
"MA0689.1","MA0689.1",0,3630,0,9.075,0,1,"TBX20",1
"MA0691.1","MA0691.1",0,2075,0,5.1875,0,1,"TFAP4",1
"MA0692.1","MA0692.1",0,1801,0,4.5025,0,1,"TFEB",1
"MA0694.1","MA0694.1",0,1996,0,4.99,0,1,"ZBTB7B",1
"MA0695.1","MA0695.1",0,2561,0,6.4025,0,1,"ZBTB7C",1
"MA0696.1","MA0696.1",0,3486,0,8.715,0,1,"ZIC1",1
"MA0698.1","MA0698.1",0,3881,0,9.7025,0,1,"ZBTB18",1
"MA0699.1","MA0699.1",0,966,0,2.415,0,1,"LBX2",1
"MA0706.1","MA0706.1",0,1484,0,3.71,0,1,"MEOX2",1
"MA0710.1","MA0710.1",0,1283,0,3.2075,0,1,"NOTO",1
"MA0711.1","MA0711.1",0,579,0,1.4475,0,1,"OTX1",1
"MA0132.2","MA0132.2",0,1061,0,2.6525,0,1,"PDX1",1
"MA0713.1","MA0713.1",0,2196,0,5.49,0,1,"PHOX2A",1
"MA0714.1","MA0714.1",0,1127,0,2.8175,0,1,"PITX3",1
"MA0715.1","MA0715.1",0,2683,0,6.7075,0,1,"PROP1",1
"MA0716.1","MA0716.1",0,1069,0,2.6725,0,1,"PRRX1",1
"MA0717.1","MA0717.1",0,1069,0,2.6725,0,1,"RAX2",1
"MA0718.1","MA0718.1",0,1094,0,2.735,0,1,"RAX",1
"MA0719.1","MA0719.1",0,1399,0,3.4975,0,1,"RHOXF1",1
"MA0721.1","MA0721.1",0,1069,0,2.6725,0,1,"UNCX",1
"MA0722.1","MA0722.1",0,1365,0,3.4125,0,1,"VAX1",1
"MA0724.1","MA0724.1",0,809,0,2.0225,0,1,"VENTX",1
"MA0725.1","MA0725.1",0,1385,0,3.4625,0,1,"VSX1",1
"MA0726.1","MA0726.1",0,1077,0,2.6925,0,1,"VSX2",1
"MA0112.3","MA0112.3",0,1791,0,4.4775,0,1,"ESR1",1
"MA0141.3","MA0141.3",0,2409,0,6.0225,0,1,"ESRRB",1
"MA0017.2","MA0017.2",0,3331,0,8.3275,0,1,"NR2F1",1
"MA0729.1","MA0729.1",0,2760,0,6.9,0,1,"RARA",1
"MA0730.1","MA0730.1",0,2953,0,7.3825,0,1,"RARA.1",1
"MA0731.1","MA0731.1",0,2351,0,5.8775,0,1,"BCL6B",1
"MA0472.2","MA0472.2",0,3055,0,7.6375,0,1,"EGR2",1
"MA0732.1","MA0732.1",0,5659,0,14.1475,0,1,"EGR3",1
"MA0733.1","MA0733.1",0,5607,0,14.0175,0,1,"EGR4",1
"MA0735.1","MA0735.1",0,1359,0,3.3975,0,1,"GLIS1",1
"MA0736.1","MA0736.1",0,2362,0,5.905,0,1,"GLIS2",1
"MA0738.1","MA0738.1",0,3132,0,7.83,0,1,"HIC2",1
"MA0741.1","MA0741.1",0,10479,0,26.1975,0,1,"KLF16",1
"MA0747.1","MA0747.1",0,9292,0,23.23,0,1,"SP8",1
"MA0749.1","MA0749.1",0,267,0,0.6675,0,1,"ZBED1",1
"MA0751.1","MA0751.1",0,3733,0,9.3325,0,1,"ZIC4",1
"MA0088.2","MA0088.2",0,3127,0,7.8175,0,1,"ZNF143",1
"MA0752.1","MA0752.1",0,1595,0,3.9875,0,1,"ZNF410",1
"MA0755.1","MA0755.1",0,538,0,1.345,0,1,"CUX2",1
"MA0757.1","MA0757.1",0,2192,0,5.48,0,1,"ONECUT3",1
"MA0758.1","MA0758.1",0,1537,0,3.8425,0,1,"E2F7",1
"MA0762.1","MA0762.1",0,2952,0,7.38,0,1,"ETV2",1
"MA0763.1","MA0763.1",0,2254,0,5.635,0,1,"ETV3",1
"MA0767.1","MA0767.1",0,1109,0,2.7725,0,1,"GCM2",1
"MA0770.1","MA0770.1",0,2209,0,5.5225,0,1,"HSF2",1
"MA0771.1","MA0771.1",0,2094,0,5.235,0,1,"HSF4",1
"MA0772.1","MA0772.1",0,4557,0,11.3925,0,1,"IRF7",1
"MA0773.1","MA0773.1",0,3917,0,9.7925,0,1,"MEF2D",1
"MA0498.2","MA0498.2",0,1974,0,4.935,0,1,"MEIS1",1
"MA0774.1","MA0774.1",0,2614,0,6.535,0,1,"MEIS2",1
"MA0775.1","MA0775.1",0,2440,0,6.1,0,1,"MEIS3",1
"MA0776.1","MA0776.1",0,404,0,1.01,0,1,"MYBL1",1
"MA0777.1","MA0777.1",0,379,0,0.9475,0,1,"MYBL2",1
"MA0105.4","MA0105.4",0,1968,0,4.92,0,1,"NFKB1",1
"MA0779.1","MA0779.1",0,1112,0,2.78,0,1,"PAX1",1
"MA0780.1","MA0780.1",0,967,0,2.4175,0,1,"PAX3",1
"MA0781.1","MA0781.1",0,1106,0,2.765,0,1,"PAX9",1
