"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1957.1","MA1957.1",28,2040,4.07569141193595,5.1,0.799155178810971,0.909943501233327,"HOXB2::ELK1",0.956961858439912
"MA1978.1","MA1978.1",63,4285,9.1703056768559,10.7125,0.856037869484798,0.918704644386097,"ZNF354A",0.9647095810549
"MA1718.1","MA1718.1",19,1470,2.76564774381368,3.675,0.752557209201002,0.921243403108931,"ZNF8",0.965860798266433
"MA1101.2","MA1101.2",35,2523,5.09461426491994,6.3075,0.80770737454141,0.922592467708255,"BACH2",0.965860798266433
"MA0762.1","MA0762.1",39,2794,5.67685589519651,6.985,0.812720958510595,0.927502360785946,"ETV2",0.968636351916694
"MA0841.1","MA0841.1",34,2473,4.9490538573508,6.1825,0.800493951856175,0.92804321000111,"NFE2",0.968636351916694
"MA0640.2","MA0640.2",161,10340,23.4352256186317,25.85,0.906585130314574,0.934651916934722,"ELF3",0.972745212765301
"MA1135.1","MA1135.1",46,3265,6.6957787481805,8.1625,0.820309800695926,0.93479128105336,"FOSB::JUNB",0.972745212765301
"MA0081.2","MA0081.2",181,11560,26.3464337700146,28.9,0.911641306920919,0.938232294574176,"SPIB",0.974859981749744
"MA1954.1","MA1954.1",87,5891,12.6637554585153,14.7275,0.859871360279429,0.946812125412313,"FOXO1::ELK1",0.981096274267612
"MA1949.1","MA1949.1",24,1870,3.49344978165939,4.675,0.747261985381687,0.947069813888388,"FLI1::DRGX",0.981096274267612
"MA0800.1","MA0800.1",36,2679,5.24017467248908,6.6975,0.782407565881162,0.951358056819461,"EOMES",0.983242244279361
"MA0478.1","MA0478.1",55,3915,8.00582241630277,9.7875,0.817963976122888,0.953745246538577,"FOSL2",0.983242244279361
"MA0501.1","MA0501.1",48,3468,6.98689956331878,8.67,0.805870768548879,0.954011770373145,"MAF::NFE2",0.983242244279361
"MA0724.1","MA0724.1",8,770,1.16448326055313,1.925,0.604926369118509,0.954824838375334,"VENTX",0.983242244279361
"MA1942.1","MA1942.1",80,5565,11.6448326055313,13.9125,0.837005039031899,0.965560786940889,"ETV2::FOXI1",0.99282030395705
"MA1952.1","MA1952.1",83,5803,12.0815138282387,14.5075,0.832777103445716,0.971965764801006,"FOXJ2::ELF1",0.997749791518056
"MA0690.2","MA0690.2",38,2923,5.53129548762737,7.3075,0.756934038676341,0.973658157358138,"TBX21",0.997749791518056
"MA1566.2","MA1566.2",38,2930,5.53129548762737,7.325,0.755125663839913,0.974680432176598,"TBX3",0.997749791518056
"MA0900.2","MA0900.2",5,613,0.727802037845706,1.5325,0.474911607077133,0.980727166925235,"HOXA2",0.999425878006513
"MA0687.1","MA0687.1",80,5767,11.6448326055313,14.4175,0.807687366431857,0.985800700824167,"SPIC",0.999425878006513
"MA0801.1","MA0801.1",36,2898,5.24017467248908,7.245,0.723281528293869,0.986176160136525,"MGA",0.999425878006513
